p.value	HR	Low 95%CI	High 95%CI
SMS	4.98180432849469e-09	1.63079398529162	1.38423747672043	1.9212664497166
PSMD1	3.39685087544937e-07	1.60938632944086	1.34041444772239	1.93233097553687
PSMD14	1.04436430256383e-06	1.53739890466654	1.293643396614	1.82708418584008
AMD1	2.51218458668321e-06	1.52816614112163	1.28081205216671	1.82328995961588
PSMA1	2.82265650870704e-06	1.52765906334167	1.27941543323542	1.82406914375601
SMOX	5.8596698996895e-06	1.50401147998526	1.26062131691226	1.79439336903177
PSMB2	5.87456003194633e-06	1.49526320801665	1.25642919393075	1.77949706362161
PSMD2	3.44850834726575e-05	1.43708704652671	1.21047696373296	1.7061201833416
SRM	2.24071127519396e-05	1.42732958081485	1.2108357417826	1.68253187609891
PSMD6	9.51311205759682e-05	1.42254383543817	1.19177619647135	1.69799578959101
PSME3	0.000143681383636804	1.41171495081129	1.18180527099775	1.686351509214
PSMD9	2.4828501401631e-05	1.40751347403729	1.20072805841788	1.64991079013085
PSMD7	0.000412886443091704	1.40423548905576	1.16309810016571	1.69536628805665
PSMD11	7.04461178271963e-05	1.4023804939863	1.186987642503	1.65685890862869
PSMB5	0.000151701654093696	1.39442565971177	1.17405505025329	1.65615992200973
PSMA3	0.000291113314376386	1.39343709770949	1.1645040735142	1.66737668801239
PSMD13	0.000106040283498319	1.38873432848223	1.17627184565857	1.63957255478238
PSMA5	0.000290257045309798	1.37827648300303	1.15871324463216	1.63944450656752
PSMA7	0.000152247556744705	1.35755222578581	1.15892442062255	1.59022280740794
PSMD12	0.000544848139613779	1.35408376085177	1.14031042778556	1.60793305640742
OAZ1	0.00126776761109627	1.3129146362302	1.11259917661076	1.54929545002757
ODC1	0.000856177587837591	1.30904702701733	1.11737727178015	1.53359493003905
NQO1	0.00196220417356146	1.30827433722418	1.10361743726451	1.55088319887533
PSME4	0.00586440114543568	1.30046598505422	1.07878405072839	1.56770187429184
PSMC6	0.00546826188273764	1.28935336512811	1.07771310409523	1.54255533671258
AZIN2	0.00355859796874751	1.28361740543905	1.08523250899002	1.51826786416443
PSMC4	0.00380555094538137	1.28175138655648	1.08340214275139	1.51641440616614
PSMC5	0.00343666045016945	1.27946127886427	1.08474746902401	1.50912651180084
PSMD10	0.00544963914778434	1.27896703779184	1.07522365111357	1.52131761802666
PSMD8	0.00501974864731541	1.25820654758375	1.07169277516502	1.4771805437793
PSMD4	0.00516759067617518	1.25115053153029	1.06931671130434	1.46390460001238
OAZ3	0.00609644569174005	1.23087666074925	1.06106664085889	1.42786258245839
PSMB4	0.0072854326876124	1.22921468809804	1.05722147197549	1.42918848083232
PSMC3	0.0173514712353628	1.22874171186036	1.0369622567231	1.45598953546936
PSMC2	0.0281152546251814	1.22567792284556	1.02208589657815	1.46982398992151
PSMF1	0.0298929108780023	1.22478421562928	1.01994917997954	1.47075599872998
PSMC1	0.044153849779996	1.21592688607541	1.00512882577577	1.47093402792416
PSMA2	0.0154063713834428	1.21026973928589	1.03712243921827	1.41232393249073
PSMA4	0.0408615699104799	1.19865683596948	1.00755743224113	1.42600130219925
AZIN1	0.0461713028932497	1.19685960813754	1.00305641778473	1.42810802681945
PSMD3	0.0376554643201347	1.19239546715991	1.01009258770199	1.40760061742279
PSMA8	0.0319164607590458	1.1736191814071	1.01393745918201	1.35844866021409
