ID	description	GeneRatio	BgRatio	pValue	FDR	qvalue	geneID	size	DB	enrichmentRatio
hsa00120	hsa00120	Primary bile acid biosynthesis	4/60	17/7914	6.60064989355246e-06	0.0008052792870134	0.000646168884316188	CYP8B1/SLC27A5/AKR1D1/CYP7A1	4	pathway_KEGG	0.0666666666666667
hsa04976	hsa04976	Bile secretion	6/60	72/7914	1.55926742436808e-05	0.000951153128864527	0.000763220370874901	SLC27A5/SLC22A1/SLC10A1/SLC22A7/CYP7A1/CYP3A4	6	pathway_KEGG	0.1
hsa04657	hsa04657	IL-17 signaling pathway	6/60	93/7914	6.72616250449382e-05	0.00273530608516082	0.00219485302778219	S100A9/CCL20/MMP9/CXCL1/CXCL8/LCN2	6	pathway_KEGG	0.1
hsa03320	hsa03320	PPAR signaling pathway	5/60	76/7914	0.000258725212088762	0.00637408486076151	0.00511466688568439	ME1/CYP4A22/CYP8B1/SLC27A5/CYP7A1	5	pathway_KEGG	0.0833333333333333
hsa00360	hsa00360	Phenylalanine metabolism	3/60	17/7914	0.000261232986096783	0.00637408486076151	0.00511466688568439	GLYAT/TAT/ALDH3A1	3	pathway_KEGG	0.05
hsa05204	hsa05204	Chemical carcinogenesis	5/60	82/7914	0.000369078724330559	0.00750460072805469	0.00602181076539333	AKR1C2/ADH4/CYP2A6/ALDH3A1/CYP3A4	5	pathway_KEGG	0.0833333333333333
hsa00140	hsa00140	Steroid hormone biosynthesis	4/60	60/7914	0.00106057424597603	0.0184842940012966	0.0148320909587626	AKR1C2/AKR1D1/CYP7A1/CYP3A4	4	pathway_KEGG	0.0666666666666667
hsa00830	hsa00830	Retinol metabolism	4/60	67/7914	0.00160260704755141	0.0244397574751591	0.0196108493976686	CYP4A22/ADH4/CYP2A6/CYP3A4	4	pathway_KEGG	0.0666666666666667
hsa01200	hsa01200	Carbon metabolism	5/60	117/7914	0.00185175983459055	0.0251016333133385	0.0201419490780025	TKT/G6PD/ME1/CPS1/HAO2	5	pathway_KEGG	0.0833333333333333
hsa00982	hsa00982	Drug metabolism - cytochrome P450	4/60	72/7914	0.00209139502645795	0.025515019322787	0.0204736565747989	ADH4/CYP2A6/ALDH3A1/CYP3A4	4	pathway_KEGG	0.0666666666666667
hsa00350	hsa00350	Tyrosine metabolism	3/60	36/7914	0.00247618161780036	0.0259262506742852	0.0208036351398492	ADH4/TAT/ALDH3A1	3	pathway_KEGG	0.05
hsa00980	hsa00980	Metabolism of xenobiotics by cytochrome P450	4/60	76/7914	0.00255012301714281	0.0259262506742852	0.0208036351398492	ADH4/CYP2A6/ALDH3A1/CYP3A4	4	pathway_KEGG	0.0666666666666667
hsa00130	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	2/60	11/7914	0.002975226322829	0.0279213547219337	0.0224045383014653	NQO1/TAT	2	pathway_KEGG	0.0333333333333333
GO:0008202	GO:0008202	steroid metabolic process	11/94	321/17913	9.47949812345416e-07	0.00175181125321433	0.00159455136855576	SPP1/G6PD/AKR1B15/CYP8B1/AKR1C2/SLC27A5/G6PC/AKR1D1/CYP2A6/CYP7A1/CYP3A4	11	geneontology_Biological_Process	0.117021276595745
GO:0034754	GO:0034754	cellular hormone metabolic process	7/94	117/17913	2.71030564614851e-06	0.00250432241704122	0.00227950969607648	SPP1/AKR1B10/AKR1B15/AKR1C2/ADH4/AKR1D1/CYP3A4	7	geneontology_Biological_Process	0.074468085106383
GO:0006706	GO:0006706	steroid catabolic process	4/94	25/17913	8.26623869142941e-06	0.00509200303392052	0.00463489453645761	SPP1/AKR1D1/CYP7A1/CYP3A4	4	geneontology_Biological_Process	0.0425531914893617
GO:0006699	GO:0006699	bile acid biosynthetic process	4/94	36/17913	3.68287508809247e-05	0.0170148829069872	0.0154874589230836	CYP8B1/SLC27A5/AKR1D1/CYP7A1	4	geneontology_Biological_Process	0.0425531914893617
GO:0006694	GO:0006694	steroid biosynthetic process	7/94	190/17913	6.35703728490462e-05	0.0210704366115814	0.0191789460613506	G6PD/AKR1B15/CYP8B1/SLC27A5/AKR1D1/CYP7A1/CYP3A4	7	geneontology_Biological_Process	0.074468085106383
GO:0007586	GO:0007586	digestion	6/94	132/17913	6.84105084791603e-05	0.0210704366115814	0.0191789460613506	GCNT3/SOX9/AKR1C2/MOGAT2/AKR1D1/MUC13	6	geneontology_Biological_Process	0.0638297872340425
GO:0046164	GO:0046164	alcohol catabolic process	4/94	44/17913	8.21947049305639e-05	0.0216994021016689	0.0197514493953445	AKR1B10/ADH4/AKR1D1/CYP7A1	4	geneontology_Biological_Process	0.0425531914893617
GO:0044264	GO:0044264	cellular polysaccharide metabolic process	5/94	88/17913	9.93025312127177e-05	0.0219103017110295	0.0199434165722404	PHLDA2/B3GNT3/GCGR/GYS2/G6PC	5	geneontology_Biological_Process	0.0531914893617021
GO:0008206	GO:0008206	bile acid metabolic process	4/94	47/17913	0.000106706014826442	0.0219103017110295	0.0199434165722404	CYP8B1/SLC27A5/AKR1D1/CYP7A1	4	geneontology_Biological_Process	0.0425531914893617
GO:0042445	GO:0042445	hormone metabolic process	7/94	215/17913	0.000137631951844955	0.0246295122074453	0.0224185238707551	SPP1/AKR1B10/AKR1B15/AKR1C2/ADH4/AKR1D1/CYP3A4	7	geneontology_Biological_Process	0.074468085106383
GO:0031667	GO:0031667	response to nutrient levels	10/94	466/17913	0.000165433249834161	0.0246295122074453	0.0224185238707551	NQO1/SPP1/G6PD/SLC39A4/MMP7/GCGR/LCN2/G6PC/CPS1/ALDH3A1	10	geneontology_Biological_Process	0.106382978723404
GO:0010466	GO:0010466	negative regulation of peptidase activity	7/94	223/17913	0.000172430353045605	0.0246295122074453	0.0224185238707551	SFN/MMP9/SPINT1/TIMP1/SPINK1/SPP2/GPC3	7	geneontology_Biological_Process	0.074468085106383
GO:0005976	GO:0005976	polysaccharide metabolic process	5/94	99/17913	0.000173259555571855	0.0246295122074453	0.0224185238707551	PHLDA2/B3GNT3/GCGR/GYS2/G6PC	5	geneontology_Biological_Process	0.0531914893617021
