logFC	AveExpr	t	P.Value	adj.P.Val	B
NQO1	5.33189119528761	4.61306776284329	37.6696199926283	1.70843368439584e-128	3.10388231781036e-124	271.375947636827
TRIM16	1.48538980015528	2.40082834884508	10.9901339984351	1.69735847725282e-24	1.54188044073646e-20	44.6105851351459
TKT	1.23992436902929	5.94739822407473	10.7370733607243	1.38623240393382e-23	8.39502343822319e-20	42.5781031047459
SPP1	3.14687421239502	6.75764119065668	9.56468468331314	1.65267567350003e-19	7.2580431317437e-16	33.4976149944254
TXNRD1	1.19987605119166	5.62528557281811	9.54020295485995	1.99747994598847e-19	7.2580431317437e-16	33.3143877594723
TRIM16L	1.47205180511866	3.0670749076099	9.33711975309841	9.51376485347195e-19	2.88076799763131e-15	31.8053282846373
UGDH	1.01900982136118	6.35466231910025	9.28284563621624	1.43894962744431e-18	3.73469097591547e-15	31.4053634287513
VSIG10L	1.16595167874938	2.19811935674734	8.95361064749581	1.71568065784706e-17	3.80467906325986e-14	29.0101560229412
AKR1B10	3.09391650382172	7.3146787587961	8.94098043407666	1.88474854520799e-17	3.80467906325986e-14	28.9193530841468
CABYR	1.31003263759106	1.52950249529053	8.70046528856912	1.11078167795251e-16	1.68172346042009e-13	27.205917914464
G6PD	1.30949629199603	4.21521858822211	8.66859028464591	1.40193778807739e-16	1.95926197952231e-13	26.9811111339623
AKR1B15	1.36713095688685	1.50313339008024	8.42388487257501	8.2210442637881e-16	8.78587836379425e-13	25.2734087949881
FLNC	1.38827308351636	1.50445696999356	8.34240540064373	1.47076022074426e-15	1.48448731613787e-12	24.7120416465011
HMGA1	1.08446442034509	6.14635391290858	8.32316338089534	1.68641346638499e-15	1.61256630827803e-12	24.5800072084392
SLC1A5	1.251742737837	3.60152924095284	7.92745158846394	2.68323185980283e-14	1.94995825715591e-11	21.9112358690394
ME1	1.31963502208411	3.65314924124098	7.8837434737891	3.62215825307779e-14	2.43731004229323e-11	21.6220104954282
TM4SF1	1.11043674577001	5.79392026304636	7.8119521264892	5.91472076263404e-14	3.81246553979836e-11	21.1494034678022
AP1M2	1.84402520720286	2.55384549557574	7.78499977487806	7.10464995497299e-14	4.30257601273164e-11	20.9727658108079
GPX2	1.94331083714474	8.04444592599812	7.77914204976904	7.39297912697701e-14	4.33276273480382e-11	20.9344334368487
MPZ	1.44887987337849	2.82286914987807	7.7677803465269	7.98553876574674e-14	4.53378963425271e-11	20.8601421196269
S100P	2.34138601094167	3.58883038056307	7.64992445508128	1.76867556355243e-13	9.180942182463e-11	20.0940954217971
SFN	1.85314426013084	4.4211155147072	7.59796766876731	2.50454229574951e-13	1.22979795754533e-10	19.7590591882035
GCNT3	1.03191786134077	1.27987527592331	7.49269194149684	5.04244077023663e-13	2.23441619301607e-10	19.0852802964759
ARHGEF16	1.02913320106467	2.48769323329622	7.39812468665924	9.39925094351475e-13	3.63331044982502e-10	18.4858939936826
ETV4	1.4291593875533	2.97033340530304	7.25300283639079	2.41756135925336e-12	7.70565873244124e-10	17.57701395294
PHLDA2	1.2015218762888	3.55978775917201	7.18628787330175	3.71569717380795e-12	1.14418281786005e-09	17.1636824379134
TINAG	1.33273616776882	1.2150173852194	7.14028242333536	4.98926564618965e-12	1.43880917872974e-09	16.8803229275608
LAPTM4B	1.10641432230973	6.05447421805262	7.11970666982937	5.68971518611059e-12	1.60413911099712e-09	16.7540340745483
SNCG	1.34401889788137	3.82522009623846	7.11834998361419	5.73915908271756e-12	1.60413911099712e-09	16.7457167099192
MSC	1.46376532977341	2.62101508530045	7.09212654373395	6.78234572487584e-12	1.81208319308153e-09	16.5851847423861
LY96	1.16608455288703	4.21914551388848	7.08550173867226	7.07412743493038e-12	1.8360392462545e-09	16.5447003980261
SEL1L3	1.16027290039356	2.92337281613872	6.9969505971956	1.23878256107467e-11	2.81327519620058e-09	16.0063135096968
PTP4A3	1.02643945434683	4.04364848529629	6.89410979195819	2.35927168087737e-11	4.81609526945844e-09	15.3875203064226
CLDN4	1.64197637424539	2.75194432832468	6.82856723091237	3.54407103197204e-11	6.92351424826539e-09	14.9968161594928
CTHRC1	1.20048201200763	2.5738296065954	6.75429316539086	5.60097994308202e-11	1.00751092679123e-08	14.5575433247331
S100A9	1.26069651677688	4.84632921980317	6.45624412446258	3.38474838669646e-10	4.39243633496437e-08	12.8326109269186
CCL20	1.57730290486903	4.68728638152054	6.42509321325279	4.07053058955794e-10	5.03084352048222e-08	12.6558713635923
EPS8L3	1.26649505150533	2.8271481928285	6.40020215876232	4.71480663656997e-10	5.63543466928968e-08	12.5151361593087
UCHL1	1.25299236512783	1.58418743451582	6.35801199253515	6.04223749294634e-10	6.73468532342632e-08	12.2775846121145
LGALS3	1.05857309536004	5.24204572763149	6.33514820953878	6.90804809346949e-10	7.42635608060081e-08	12.1493740236436
SOX9	1.1959079579908	3.77469923013017	6.30446628505249	8.26322108242002e-10	8.72826747822133e-08	11.9779030732981
PTGES	1.16060159349054	1.76704333343823	6.26970052207947	1.0114641472031e-09	1.02090447924366e-07	11.7844153728685
