Tag	p.value	HR	Low 95%CI	High 95%CI
NQO1	0.00196220417356146	1.30827433722418	1.10361743726451	1.55088319887533
TRIM16	0.000444754190855747	1.33605275391025	1.136591382882	1.57051776752426
TKT	3.3277952713642e-05	1.44919998833836	1.21626083310949	1.72675181920525
SPP1	3.02529258762058e-06	1.5254867631914	1.27766905812219	1.8213713871199
TXNRD1	3.14387134914184e-05	1.49322066250665	1.23634941407175	1.80346099699563
TRIM16L	0.000768188450560324	1.33839080025781	1.12935963367887	1.58611117379824
UGDH	0.00163344275259792	1.32873705046667	1.11334745207175	1.58579619147418
VSIG10L	0.0122559941287868	1.22020816538861	1.04423384827341	1.42583767931185
AKR1B10	0.00627164049110027	1.29648109978661	1.07622487878801	1.56181414798437
CABYR	0.000313620967443937	1.34634160771115	1.14528209782318	1.58269803404723
G6PD	1.17996908317099e-09	1.65782906496351	1.40864837304629	1.95108819292795
AKR1B15	0.000117696624825143	1.37663530175373	1.16994330113892	1.61984324555704
FLNC	0.000985039591293811	1.29828295383653	1.11155020965851	1.51638550699418
HMGA1	1.94686176623532e-05	1.47357936831803	1.23340304724105	1.76052439597077
SLC1A5	9.43671333369087e-08	1.56114249750284	1.32557980179598	1.83856595748319
ME1	0.000673579610348975	1.36088451456983	1.13941315847987	1.62540396186646
TM4SF1	0.0683409330199633	1.17753491411036	0.98777330925053	1.40375171202081
AP1M2	0.00769268583235851	1.25335305637321	1.06158059287982	1.47976884134497
GPX2	0.310416248503185	1.09501130860745	0.918866604576058	1.3049225643927
MPZ	0.0146458877232374	1.22726777453775	1.04118378337697	1.44660934454213
S100P	0.0208589656232548	1.21156577874479	1.02954605474913	1.4257658794906
SFN	0.000306952234655861	1.38635671128632	1.16100392236107	1.65545085069134
GCNT3	0.00102882970326864	1.29183578721606	1.10868057422077	1.50524843668796
ARHGEF16	0.0322931913456317	1.22190994270233	1.01707016419355	1.46800482468058
ETV4	0.000584983707631685	1.34786086315268	1.13696289501722	1.59787880007393
PHLDA2	0.000187105056806768	1.38846628752959	1.16884104625821	1.64935911326673
TINAG	0.00124013312362609	1.28723435823779	1.10435008886247	1.50040490759106
